Localização,Formato_Localizacao,Pais_Localizacao,Consistencia_Pais_Completa,Problemas_Localizacao,Localização_Padronizada,Cidade_Padronizada,Estado_Padronizado,Pais_Localizacao_Padronizado,Consistencia_Validada
"Leipzig, Saxony, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Leipzig, Saxony, Germany",Leipzig,Saxony,Germany,True
Cologne Bonn Region,Apenas País,Cologne Bonn Region,Apenas Localização tem país,['OK'],Cologne Bonn Region,,,Cologne Bonn Region,True
Egypt,Apenas País,Egypt,Consistente,['OK'],Egypt,,,Egypt,True
South Korea,Apenas País,South Korea,Apenas Localização tem país,['OK'],South Korea,,,South Korea,True
Spain,Apenas País,Spain,Consistente,['OK'],"Capital, Spain",Capital,,Spain,True
"Leioa, Basque Country, Spain","Cidade, Estado, País",Spain,Consistente,['OK'],"Leioa, Basque Country, Spain",Leioa,Basque Country,Spain,True
"Lisboa, Lisbon, Portugal","Cidade, Estado, País",Portugal,Consistente,['OK'],"Lisbon, Lisbon, Portugal",Lisbon,Lisbon,Portugal,True
"Friedberg, Bavaria, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Friedberg, Bavaria, Germany",Friedberg,Bavaria,Germany,True
"London, England, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"London, England, United Kingdom",London,England,United Kingdom,True
"London, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"London, England, United Kingdom",London,England,United Kingdom,True
"London, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"London, England, United Kingdom",London,England,United Kingdom,True
Greater Blackburn with Darwen Area,Apenas País,Greater Blackburn with Darwen Area,Inconsistente,['OK'],Greater Blackburn with Darwen Area,,,Greater Blackburn with Darwen Area,False
"Noida, Uttar Pradesh, India","Cidade, Estado, País",India,Consistente,['OK'],"Noida, Uttar Pradesh, India",Noida,Uttar Pradesh,India,True
Greater Madrid Metropolitan Area,Apenas País,Greater Madrid Metropolitan Area,Inconsistente,['OK'],"Madrid, Community of Madrid, Spain",Madrid,Community of Madrid,Spain,False
Greater Munich Metropolitan Area,Apenas País,Greater Munich Metropolitan Area,Inconsistente,['OK'],"Munich, Bavaria, Germany",Munich,Bavaria,Germany,False
Greater Munich Metropolitan Area,Apenas País,Greater Munich Metropolitan Area,Inconsistente,['OK'],"Munich, Bavaria, Germany",Munich,Bavaria,Germany,False
"Gondomar, Porto, Portugal","Cidade, Estado, País",Portugal,Apenas Localização tem país,['OK'],"Gondomar, Porto, Portugal",Gondomar,Porto,Portugal,True
Romania,Apenas País,Romania,Apenas Localização tem país,['OK'],Romenia,,,Romenia,True
Romania,Apenas País,Romania,Apenas Localização tem país,['OK'],Romenia,,,Romenia,True
"Le Plessis-Robinson, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Le Plessis-Robinson, Ile-de-France, France",Le Plessis-Robinson,Ile-de-France,France,True
"Crépy-en-Valois, Picardy, France","Cidade, Estado, País",France,Consistente,['OK'],"Crépy-en-Valois, Picardy, France",Crépy-en-Valois,Picardy,France,True
"Gent Area, Belgium","Cidade, País",Belgium,Apenas Localização tem país,['OK'],"Gent Area, Belgium",Gent Area,,Belgium,True
"Berlin Area, Germany","Cidade, País",Germany,Consistente,['OK'],"Berlin Area, Germany",Berlin Area,,Germany,True
"Gamston, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Gamston, England, United Kingdom",Gamston,England,United Kingdom,True
Ireland,Apenas País,Ireland,Apenas Localização tem país,['OK'],Ireland,,,Ireland,True
United Kingdom,Apenas País,United Kingdom,Consistente,['OK'],United Kingdom,,,United Kingdom,True
"Blagnac, Midi-Pyrénées, France","Cidade, Estado, País",France,Consistente,['OK'],"Blagnac, Midi-Pyrénées, France",Blagnac,Midi-Pyrénées,France,True
Mauritius,Apenas País,Mauritius,Apenas Localização tem país,['OK'],Mauritius,,,Mauritius,True
"Frankfurt, Hesse, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Frankfurt, Hesse, Germany",Frankfurt,Hesse,Germany,True
"Hamburg, Hamburg, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Hamburg, Hamburg, Germany",Hamburg,Hamburg,Germany,True
"Hendersonville, Tennessee, United States","Cidade, Estado, País",United States,Apenas Localização tem país,['OK'],"Hendersonville, Tennessee, United States",Hendersonville,Tennessee,United States,True
Estonia,Apenas País,Estonia,Apenas Localização tem país,['OK'],Estonia,,,Estonia,True
"Ulverston, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Ulverston, England, United Kingdom",Ulverston,England,United Kingdom,True
"Bern, Berne, Switzerland","Cidade, Estado, País",Switzerland,Apenas Localização tem país,['OK'],"Bern, Berne, Switzerland",Bern,Berne,Switzerland,True
"Warsaw, Mazowieckie, Poland","Cidade, Estado, País",Poland,Apenas Localização tem país,['OK'],"Warsaw, Mazowieckie, Poland",Warsaw,Mazowieckie,Poland,True
Germany,Apenas País,Germany,Consistente,['OK'],"Capital, Germany",Capital,,Germany,True
"Rochester, United Kingdom","Cidade, País",United Kingdom,Apenas Localização tem país,['OK'],"Rochester, United Kingdom",Rochester,,United Kingdom,True
"Nuremberg, Bavaria, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Nuremberg, Bavaria, Germany",Nuremberg,Bavaria,Germany,True
"Nuremberg, Bavaria, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Nuremberg, Bavaria, Germany",Nuremberg,Bavaria,Germany,True
"Nuremberg, Bavaria, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Nuremberg, Bavaria, Germany",Nuremberg,Bavaria,Germany,True
Frankfurt Rhine-Main Metropolitan Area,Apenas País,Frankfurt Rhine-Main Metropolitan Area,Apenas Localização tem país,['OK'],Frankfurt Rhine-Main Metropolitan Area,,,Frankfurt Rhine-Main Metropolitan Area,True
Frankfurt Rhine-Main Metropolitan Area,Apenas País,Frankfurt Rhine-Main Metropolitan Area,Apenas Localização tem país,['OK'],Frankfurt Rhine-Main Metropolitan Area,,,Frankfurt Rhine-Main Metropolitan Area,True
Frankfurt Rhine-Main Metropolitan Area,Apenas País,Frankfurt Rhine-Main Metropolitan Area,Apenas Localização tem país,['OK'],Frankfurt Rhine-Main Metropolitan Area,,,Frankfurt Rhine-Main Metropolitan Area,True
"Wingfield, Wiltshire, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Wingfield, Wiltshire, United Kingdom",Wingfield,Wiltshire,United Kingdom,True
"Cork, County Cork, Ireland","Cidade, Estado, País",Ireland,Apenas Localização tem país,['OK'],"Cork, County Cork, Ireland",Cork,County Cork,Ireland,True
Rwanda,Apenas País,Rwanda,Apenas Localização tem país,['OK'],Rwanda,,,Rwanda,True
"Casablanca, Morocco","Cidade, País",Morocco,Apenas Localização tem país,['OK'],"Casablanca, Morocco",Casablanca,,Morocco,True
"Paris, Île-de-France, France","Cidade, Estado, País",France,Apenas Localização tem país,['OK'],"Paris, Ile-de-France, France",Paris,Ile-de-France,France,True
"London Area, United Kingdom","Cidade, País",United Kingdom,Consistente,['OK'],"London Area, United Kingdom",London Area,,United Kingdom,True
"Paris, Île-de-France, France","Cidade, Estado, País",France,Apenas Localização tem país,['OK'],"Paris, Ile-de-France, France",Paris,Ile-de-France,France,True
"Redhill, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Redhill, England, United Kingdom",Redhill,England,United Kingdom,True
"Bournemouth, United Kingdom","Cidade, País",United Kingdom,Apenas Localização tem país,['OK'],"Bournemouth, United Kingdom",Bournemouth,,United Kingdom,True
"Montauban Area, France","Cidade, País",France,Consistente,['OK'],"Montauban Area, France",Montauban Area,,France,True
"Hamburg, Hamburg, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Hamburg, Hamburg, Germany",Hamburg,Hamburg,Germany,True
Cologne Bonn Region,Apenas País,Cologne Bonn Region,Inconsistente,['OK'],Cologne Bonn Region,,,Cologne Bonn Region,False
Cologne Bonn Region,Apenas País,Cologne Bonn Region,Inconsistente,['OK'],Cologne Bonn Region,,,Cologne Bonn Region,False
"Peterborough, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Peterborough, England, United Kingdom",Peterborough,England,United Kingdom,True
"Heitersheim, Baden-Württemberg, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Heitersheim, Baden-Württemberg, Germany",Heitersheim,Baden-Württemberg,Germany,True
"Meyrin, Geneva, Switzerland","Cidade, Estado, País",Switzerland,Consistente,['OK'],"Meyrin, Geneva, Switzerland",Meyrin,Geneva,Switzerland,True
Pakistan,Apenas País,Pakistan,Apenas Localização tem país,['OK'],Pakistan,,,Pakistan,True
"Darlington, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Darlington, England, United Kingdom",Darlington,England,United Kingdom,True
Piotrków Trybunalski Metropolitan Area,Apenas País,Piotrków Trybunalski Metropolitan Area,Apenas Localização tem país,['OK'],Piotrków Trybunalski Metropolitan Area,,,Piotrków Trybunalski Metropolitan Area,True
Ireland,Apenas País,Ireland,Apenas Localização tem país,['OK'],Ireland,,,Ireland,True
"Hagen, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Hagen, North Rhine-Westphalia, Germany",Hagen,North Rhine-Westphalia,Germany,True
India,Apenas País,India,Apenas Localização tem país,['OK'],India,,,India,True
United Kingdom,Apenas País,United Kingdom,Consistente,['OK'],United Kingdom,,,United Kingdom,True
"Amsterdam, North Holland, Netherlands","Cidade, Estado, País",Netherlands,Consistente,['OK'],"Amsterdam, North Holland, Netherlands",Amsterdam,North Holland,Netherlands,True
"Regensburg, Bavaria, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Regensburg, Bavaria, Germany",Regensburg,Bavaria,Germany,True
"Passau, Bavaria, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Passau, Bavaria, Germany",Passau,Bavaria,Germany,True
"Paris, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Paris, Ile-de-France, France",Paris,Ile-de-France,France,True
Greater Lyon Area,Apenas País,Greater Lyon Area,Inconsistente,['OK'],"Lyon, Auvergne-Rhône-Alpes, France",Lyon,Auvergne-Rhône-Alpes,France,False
Greater Lyon Area,Apenas País,Greater Lyon Area,Inconsistente,['OK'],"Lyon, Auvergne-Rhône-Alpes, France",Lyon,Auvergne-Rhône-Alpes,France,False
Greater Paris Metropolitan Region,Apenas País,Greater Paris Metropolitan Region,Inconsistente,['OK'],"Paris, Île-de-France, France",Paris,Île-de-France,France,False
"Paris, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Paris, Ile-de-France, France",Paris,Ile-de-France,France,True
"Rueil-Malmaison, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Rueil-Malmaison, Ile-de-France, France",Rueil-Malmaison,Ile-de-France,France,True
Greater Paris Metropolitan Region,Apenas País,Greater Paris Metropolitan Region,Inconsistente,['OK'],"Paris, Île-de-France, France",Paris,Île-de-France,France,False
Greater Paris Metropolitan Region,Apenas País,Greater Paris Metropolitan Region,Inconsistente,['OK'],"Paris, Île-de-France, France",Paris,Île-de-France,France,False
Greater Paris Metropolitan Region,Apenas País,Greater Paris Metropolitan Region,Inconsistente,['OK'],"Paris, Île-de-France, France",Paris,Île-de-France,France,False
Greater Paris Metropolitan Region,Apenas País,Greater Paris Metropolitan Region,Inconsistente,['OK'],"Paris, Île-de-France, France",Paris,Île-de-France,France,False
"Hasselt, Flemish Region, Belgium","Cidade, Estado, País",Belgium,Consistente,['OK'],"Hasselt, Flemish Region, Belgium",Hasselt,Flemish Region,Belgium,True
Frankfurt Rhine-Main Metropolitan Area,Apenas País,Frankfurt Rhine-Main Metropolitan Area,Apenas Localização tem país,['OK'],Frankfurt Rhine-Main Metropolitan Area,,,Frankfurt Rhine-Main Metropolitan Area,True
Greater Paris Metropolitan Region,Apenas País,Greater Paris Metropolitan Region,Apenas Localização tem país,['OK'],"Paris, Île-de-France, France",Paris,Île-de-France,France,True
"Cologne, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Cologne, North Rhine-Westphalia, Germany",Cologne,North Rhine-Westphalia,Germany,True
"Frankfurt, Hesse, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Frankfurt, Hesse, Germany",Frankfurt,Hesse,Germany,True
Croatia,Apenas País,Croatia,Apenas Localização tem país,['OK'],Croatia,,,Croatia,True
"Guará, Federal District, Brazil","Cidade, Estado, País",Brazil,Apenas Localização tem país,['OK'],"Guará, Federal District, Brazil",Guará,Federal District,Brazil,True
"Munich, Bavaria, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Munich, Bavaria, Germany",Munich,Bavaria,Germany,True
Greater Hamburg Area,Apenas País,Greater Hamburg Area,Apenas Localização tem país,['OK'],"Hamburg, Hamburg, Germany",Hamburg,Hamburg,Germany,True
Greater Hamburg Area,Apenas País,Greater Hamburg Area,Apenas Localização tem país,['OK'],"Hamburg, Hamburg, Germany",Hamburg,Hamburg,Germany,True
"Berlin, Berlin, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Berlin, Berlin, Germany",Berlin,Berlin,Germany,True
"Düsseldorf, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Düsseldorf, North Rhine-Westphalia, Germany",Düsseldorf,North Rhine-Westphalia,Germany,True
"Osnabrück, Lower Saxony, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Osnabrück, Lower Saxony, Germany",Osnabrück,Lower Saxony,Germany,True
Germany,Apenas País,Germany,Apenas Localização tem país,['OK'],"Capital, Germany",Capital,,Germany,True
Porto Metropolitan Area,Apenas País,Porto Metropolitan Area,Inconsistente,['OK'],Porto Metropolitan Area,,,Porto Metropolitan Area,False
Stuttgart Region,Apenas País,Stuttgart Region,Apenas Localização tem país,['OK'],Stuttgart Region,,,Stuttgart Region,True
"Cologne, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Cologne, North Rhine-Westphalia, Germany",Cologne,North Rhine-Westphalia,Germany,True
"Cologne, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Cologne, North Rhine-Westphalia, Germany",Cologne,North Rhine-Westphalia,Germany,True
"Essen, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Essen, North Rhine-Westphalia, Germany",Essen,North Rhine-Westphalia,Germany,True
"Cambridge, United Kingdom","Cidade, País",United Kingdom,Consistente,['OK'],"Cambridge, United Kingdom",Cambridge,,United Kingdom,True
"Wrocław, Dolnośląskie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Wrocław, Dolnośląskie, Poland",Wrocław,Dolnośląskie,Poland,True
"Châtenay-en-France, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Châtenay-en-France, Ile-de-France, France",Châtenay-en-France,Ile-de-France,France,True
Russia,Apenas País,Russia,Apenas Localização tem país,['OK'],Russia,,,Russia,True
"Nordhausen, Thuringia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Nordhausen, Thuringia, Germany",Nordhausen,Thuringia,Germany,True
Malta,Apenas País,Malta,Apenas Localização tem país,['OK'],Malta,,,Malta,True
Germany,Apenas País,Germany,Consistente,['OK'],"Capital, Germany",Capital,,Germany,True
"London, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"London, England, United Kingdom",London,England,United Kingdom,True
"London Area, United Kingdom","Cidade, País",United Kingdom,Apenas Localização tem país,['OK'],"London Area, United Kingdom",London Area,,United Kingdom,True
Greater Málaga Metropolitan Area,Apenas País,Greater Málaga Metropolitan Area,Apenas Localização tem país,['OK'],Greater Málaga Metropolitan Area,,,Greater Málaga Metropolitan Area,True
Spain,Apenas País,Spain,Consistente,['OK'],"Capital, Spain",Capital,,Spain,True
"Mandres-les-Roses, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Mandres-les-Roses, Ile-de-France, France",Mandres-les-Roses,Ile-de-France,France,True
Bulgaria,Apenas País,Bulgaria,Apenas Localização tem país,['OK'],Bulgaria,,,Bulgaria,True
Israel,Apenas País,Israel,Apenas Localização tem país,['OK'],Israel,,,Israel,True
"Paris, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Paris, Ile-de-France, France",Paris,Ile-de-France,France,True
"Aachen, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Aachen, North Rhine-Westphalia, Germany",Aachen,North Rhine-Westphalia,Germany,True
"Greater Northampton Area, United Kingdom","Cidade, País",United Kingdom,Consistente,['OK'],"Greater Northampton Area, United Kingdom",Greater Northampton Area,,United Kingdom,True
"Thane, Maharashtra, India","Cidade, Estado, País",India,Apenas Localização tem país,['OK'],"Thane, Maharashtra, India",Thane,Maharashtra,India,True
"Münster, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Münster, North Rhine-Westphalia, Germany",Münster,North Rhine-Westphalia,Germany,True
"Übach-Palenberg, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Übach-Palenberg, North Rhine-Westphalia, Germany",Übach-Palenberg,North Rhine-Westphalia,Germany,True
India,Apenas País,India,Consistente,['OK'],India,,,India,True
"São Paulo, São Paulo, Brazil","Cidade, Estado, País",Brazil,Consistente,['OK'],"São Paulo, São Paulo, Brazil",São Paulo,São Paulo,Brazil,True
"Edinburgh, Scotland, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"Edinburgh, Scotland, United Kingdom",Edinburgh,Scotland,United Kingdom,True
Berlin Metropolitan Area,Apenas País,Berlin Metropolitan Area,Inconsistente,['OK'],Berlin Metropolitan Area,,,Berlin Metropolitan Area,False
"Madrid, Community of Madrid, Spain","Cidade, Estado, País",Spain,Consistente,['OK'],"Madrid, Community of Madrid, Spain",Madrid,Community of Madrid,Spain,True
"Graz, Styria, Austria","Cidade, Estado, País",Austria,Consistente,['OK'],"Graz, Styria, Austria",Graz,Styria,Austria,True
"Greater Northampton Area, United Kingdom","Cidade, País",United Kingdom,Consistente,['OK'],"Greater Northampton Area, United Kingdom",Greater Northampton Area,,United Kingdom,True
"Greater Northampton Area, United Kingdom","Cidade, País",United Kingdom,Consistente,['OK'],"Greater Northampton Area, United Kingdom",Greater Northampton Area,,United Kingdom,True
"Edinburgh, Scotland, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"Edinburgh, Scotland, United Kingdom",Edinburgh,Scotland,United Kingdom,True
Singapore,Apenas País,Singapore,Consistente,['OK'],Singapore,,,Singapore,True
"Stuttgart, Baden-Württemberg, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Stuttgart, Baden-Württemberg, Germany",Stuttgart,Baden-Württemberg,Germany,True
"Stuttgart, Baden-Württemberg, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Stuttgart, Baden-Württemberg, Germany",Stuttgart,Baden-Württemberg,Germany,True
"Vilnius, Vilniaus, Lithuania","Cidade, Estado, País",Lithuania,Apenas Localização tem país,['OK'],"Vilnius, Vilniaus, Lithuania",Vilnius,Vilniaus,Lithuania,True
"Vilnius, Vilniaus, Lithuania","Cidade, Estado, País",Lithuania,Apenas Localização tem país,['OK'],"Vilnius, Vilniaus, Lithuania",Vilnius,Vilniaus,Lithuania,True
"Vilnius, Vilniaus, Lithuania","Cidade, Estado, País",Lithuania,Apenas Localização tem país,['OK'],"Vilnius, Vilniaus, Lithuania",Vilnius,Vilniaus,Lithuania,True
"Wealden, England, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"Wealden, England, United Kingdom",Wealden,England,United Kingdom,True
Lithuania,Apenas País,Lithuania,Consistente,['OK'],Lithuania,,,Lithuania,True
"Barcelona, Catalonia, Spain","Cidade, Estado, País",Spain,Apenas Localização tem país,['OK'],"Barcelona, Catalonia, Spain",Barcelona,Catalonia,Spain,True
Berlin Metropolitan Area,Apenas País,Berlin Metropolitan Area,Inconsistente,['OK'],Berlin Metropolitan Area,,,Berlin Metropolitan Area,False
"London, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"London, England, United Kingdom",London,England,United Kingdom,True
"St.-Maur-des-Fossés, Île-de-France, France","Cidade, Estado, País",France,Consistente,['Caracteres especiais'],"St.-Maur-des-Fossés, Ile-de-France, France",St.-Maur-des-Fossés,Ile-de-France,France,True
"Münster, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Münster, North Rhine-Westphalia, Germany",Münster,North Rhine-Westphalia,Germany,True
"Grevenbroich, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Grevenbroich, North Rhine-Westphalia, Germany",Grevenbroich,North Rhine-Westphalia,Germany,True
"Düsseldorf, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Düsseldorf, North Rhine-Westphalia, Germany",Düsseldorf,North Rhine-Westphalia,Germany,True
"Oeiras, Lisbon, Portugal","Cidade, Estado, País",Portugal,Consistente,['OK'],"Oeiras, Lisbon, Portugal",Oeiras,Lisbon,Portugal,True
Luxembourg,Apenas País,Luxembourg,Consistente,['OK'],Luxembourg,,,Luxembourg,True
"Paris, Île-de-France, France","Cidade, Estado, País",France,Apenas Localização tem país,['OK'],"Paris, Ile-de-France, France",Paris,Ile-de-France,France,True
Germany,Apenas País,Germany,Apenas Localização tem país,['OK'],"Capital, Germany",Capital,,Germany,True
"Massy, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Massy, Ile-de-France, France",Massy,Ile-de-France,France,True
Stuttgart Region,Apenas País,Stuttgart Region,Inconsistente,['OK'],Stuttgart Region,,,Stuttgart Region,False
Stuttgart Region,Apenas País,Stuttgart Region,Inconsistente,['OK'],Stuttgart Region,,,Stuttgart Region,False
Germany,Apenas País,Germany,Consistente,['OK'],"Capital, Germany",Capital,,Germany,True
"Milton Keynes, England, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"Milton Keynes, England, United Kingdom",Milton Keynes,England,United Kingdom,True
"Acton, England, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"Acton, England, United Kingdom",Acton,England,United Kingdom,True
"Lisboa, Lisbon, Portugal","Cidade, Estado, País",Portugal,Consistente,['OK'],"Lisbon, Lisbon, Portugal",Lisbon,Lisbon,Portugal,True
"Paris, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Paris, Ile-de-France, France",Paris,Ile-de-France,France,True
"Paris Area, France","Cidade, País",France,Consistente,['OK'],"Paris Area, France",Paris Area,,France,True
"Bavière, Allemagne","Cidade, País",Allemagne,Apenas Localização tem país,['OK'],"Bavière, Allemagne",Bavière,,Allemagne,True
"Cottenham, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Cottenham, England, United Kingdom",Cottenham,England,United Kingdom,True
Ukraine,Apenas País,Ukraine,Consistente,['OK'],Ukraine,,,Ukraine,True
Austria,Apenas País,Austria,Consistente,['OK'],Austria,,,Austria,True
"London, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"London, England, United Kingdom",London,England,United Kingdom,True
Germany,Apenas País,Germany,Consistente,['OK'],"Capital, Germany",Capital,,Germany,True
"Düsseldorf, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Düsseldorf, North Rhine-Westphalia, Germany",Düsseldorf,North Rhine-Westphalia,Germany,True
"Langenfeld, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Langenfeld, North Rhine-Westphalia, Germany",Langenfeld,North Rhine-Westphalia,Germany,True
"Langenfeld, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Langenfeld, North Rhine-Westphalia, Germany",Langenfeld,North Rhine-Westphalia,Germany,True
"Toulouse, Occitanie, France","Cidade, Estado, País",France,Consistente,['OK'],"Toulouse, Occitanie, France",Toulouse,Occitanie,France,True
Greater Nantes Metropolitan Area,Apenas País,Greater Nantes Metropolitan Area,Inconsistente,['OK'],Greater Nantes Metropolitan Area,,,Greater Nantes Metropolitan Area,False
"Gdynia, Pomorskie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Gdynia, Pomorskie, Poland",Gdynia,Pomorskie,Poland,True
"Tadley, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Tadley, England, United Kingdom",Tadley,England,United Kingdom,True
France,Apenas País,France,Apenas Localização tem país,['OK'],"Capital, France",Capital,,France,True
"Berlin, Berlin, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Berlin, Berlin, Germany",Berlin,Berlin,Germany,True
"Kippax, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Kippax, England, United Kingdom",Kippax,England,United Kingdom,True
"Poznań, Wielkopolskie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Poznań, Wielkopolskie, Poland",Poznań,Wielkopolskie,Poland,True
United Kingdom,Apenas País,United Kingdom,Apenas Localização tem país,['OK'],United Kingdom,,,United Kingdom,True
"Bilbao, Basque Country, Spain","Cidade, Estado, País",Spain,Consistente,['OK'],"Bilbao, Basque Country, Spain",Bilbao,Basque Country,Spain,True
"Stuttgart, Baden-Württemberg, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Stuttgart, Baden-Württemberg, Germany",Stuttgart,Baden-Württemberg,Germany,True
"Stuttgart, Baden-Württemberg, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Stuttgart, Baden-Württemberg, Germany",Stuttgart,Baden-Württemberg,Germany,True
"Madrid, Community of Madrid, Spain","Cidade, Estado, País",Spain,Consistente,['OK'],"Madrid, Community of Madrid, Spain",Madrid,Community of Madrid,Spain,True
"Dubai, United Arab Emirates","Cidade, País",United Arab Emirates,Consistente,['OK'],"Dubai, United Arab Emirates",Dubai,,United Arab Emirates,True
"Freiburg, Baden-Württemberg, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Freiburg, Baden-Württemberg, Germany",Freiburg,Baden-Württemberg,Germany,True
United Kingdom,Apenas País,United Kingdom,Apenas Localização tem país,['OK'],United Kingdom,,,United Kingdom,True
"London, England, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"London, England, United Kingdom",London,England,United Kingdom,True
Greater Paris Metropolitan Region,Apenas País,Greater Paris Metropolitan Region,Apenas Localização tem país,['OK'],"Paris, Île-de-France, France",Paris,Île-de-France,France,True
Lithuania,Apenas País,Lithuania,Apenas Localização tem país,['OK'],Lithuania,,,Lithuania,True
"Almada, Setúbal, Portugal","Cidade, Estado, País",Portugal,Consistente,['OK'],"Almada, Setúbal, Portugal",Almada,Setúbal,Portugal,True
"Herzogenaurach, Bavaria, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Herzogenaurach, Bavaria, Germany",Herzogenaurach,Bavaria,Germany,True
Frankfurt Rhine-Main Metropolitan Area,Apenas País,Frankfurt Rhine-Main Metropolitan Area,Inconsistente,['OK'],Frankfurt Rhine-Main Metropolitan Area,,,Frankfurt Rhine-Main Metropolitan Area,False
