País da empresa,Localização da empresa,Estado,Cidade,Cidade_empresa,Estado_empresa,Localizacao_empresa_padronizada,Cidade_empresa_padronizada,Estado_empresa_padronizada,Pais_empresa_padronizada,Pais_consistente
France,"St.-Denis, Île-de-France, France",,,St.-Denis,Île-de-France,"St.-Denis, Ilha De França, França",St.-Denis,Ilha De França,França,França
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Limoges-Fourches, Île-de-France, France",Limousin,Limoges,Limoges-Fourches,Île-de-France,"Limoges-Fourches, Ilha De França, França",Limoges-Fourches,Ilha De França,França,França
France,"Limoges-Fourches, Île-de-France, France",Limousin,Limoges,Limoges-Fourches,Île-de-France,"Limoges-Fourches, Ilha De França, França",Limoges-Fourches,Ilha De França,França,França
Netherlands,Netherlands,Pays de la Loire,Nantes,Netherlands,,Netherlands,Netherlands,,,France
Netherlands,Netherlands,Pays de la Loire,Nantes,Netherlands,,Netherlands,Netherlands,,,France
Germany,"Berlin, Berlin, Germany",Berlin,Berlin,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",,Dartford,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Poland,"Warsaw, Mazowieckie, Poland",Mazowieckie,Warsaw,Warsaw,Mazowieckie,"Warsaw, Mazowieckie, Polônia",Warsaw,Mazowieckie,Polônia,Polônia
Poland,"Warsaw, Mazowieckie, Poland",Mazowieckie,Warsaw,Warsaw,Mazowieckie,"Warsaw, Mazowieckie, Polônia",Warsaw,Mazowieckie,Polônia,Polônia
Poland,"Warsaw, Mazowieckie, Poland",Mazowieckie,Warsaw,Warsaw,Mazowieckie,"Warsaw, Mazowieckie, Polônia",Warsaw,Mazowieckie,Polônia,Polônia
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,Hamburg,Hamburg,"Hamburg, Hamburg, Alemanha",Hamburg,Hamburg,Alemanha,Alemanha
Germany,"Sindelfingen, Baden-Württemberg, Germany",,,Sindelfingen,Baden-Württemberg,"Sindelfingen, Baden-Württemberg, Alemanha",Sindelfingen,Baden-Württemberg,Alemanha,Alemanha
Poland,"Cracow, Małopolskie, Poland",Lubelskie,Lublin,Cracow,Małopolskie,"Cracow, Pequena Polônia, Polônia",Cracow,Pequena Polônia,Polônia,Polônia
Germany,"Munich, Bavaria, Germany",Bavaria,Munich,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Germany,"Berlin, Berlin, Germany",England,London,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
United Kingdom,"Maidenhead, England, United Kingdom",,Slough,Maidenhead,England,"Maidenhead, Inglaterra, Reino Unido",Maidenhead,Inglaterra,Reino Unido,Reino Unido
Germany,"Munich, Bavaria, Germany",,,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Germany,"Munich, Bavaria, Germany",,,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Germany,"Munich, Bavaria, Germany",,,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Germany,"Munich, Bavaria, Germany",,,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Germany,"Cologne, North Rhine-Westphalia, Germany",,,Cologne,North Rhine-Westphalia,"Cologne, Renânia Do Norte-Vestfália, Alemanha",Cologne,Renânia Do Norte-Vestfália,Alemanha,Alemanha
United Kingdom,"Greater London, England, United Kingdom",,,Greater London,England,"Greater London, Inglaterra, Reino Unido",Greater London,Inglaterra,Reino Unido,Reino Unido
Germany,"Berlin, Berlin, Germany",Berlin,Berlin,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
Germany,"Hamburg, Hamburg, Germany",Bavaria,Munich,Hamburg,Hamburg,"Hamburg, Hamburg, Alemanha",Hamburg,Hamburg,Alemanha,Alemanha
Poland,"Łódź, Łódzkie, Poland",,Wielkopolskie,Łódź,Łódzkie,"Łódź, Łódzkie, Polônia",Łódź,Łódzkie,Polônia,Polônia
Poland,"Łódź, Łódzkie, Poland",,Wielkopolskie,Łódź,Łódzkie,"Łódź, Łódzkie, Polônia",Łódź,Łódzkie,Polônia,Polônia
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Munich, Bavaria, Germany",,,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Germany,"Munich, Bavaria, Germany",Saxony,Leipzig,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Germany,"Munich, Bavaria, Germany",Saxony,Leipzig,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Germany,"Hamburg, Hamburg, Germany",,,Hamburg,Hamburg,"Hamburg, Hamburg, Alemanha",Hamburg,Hamburg,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Estonia,"Tallinn, Harjumaa, Estonia",,,Tallinn,Harjumaa,"Tallinn, Harjumaa, Estonia",Tallinn,Harjumaa,Estonia,Estonia
Spain,"Las Rozas de Madrid, Community of Madrid, Spain",,,Las Rozas de Madrid,Community of Madrid,"Las Rozas De Madrid, Comunidade De Madrid, Espanha",Las Rozas De Madrid,Comunidade De Madrid,Espanha,Espanha
,"Leioa, Basque Country, Spain",Basque Country,Leioa,Leioa,Basque Country,"Leioa, Basque Country, Espanha",Leioa,Basque Country,Espanha,Espanha
,,Lisbon,Lisboa,,,"Lisboa, Lisbon, Portugal",,,,Portugal
Germany,"Augsburg, Bavaria, Germany",Bavaria,Friedberg,Augsburg,Bavaria,"Augsburg, Baviera, Alemanha",Augsburg,Baviera,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",England,London,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"England, United Kingdom",England,London,England,United Kingdom,"England, Reino Unido",England,,Reino Unido,Reino Unido
United Kingdom,"England, United Kingdom",England,London,England,United Kingdom,"England, Reino Unido",England,,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Munich, Bavaria, Germany",Uttar Pradesh,Noida,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
United Kingdom,"Weeford, England, United Kingdom",,,Weeford,England,"Weeford, Inglaterra, Reino Unido",Weeford,Inglaterra,Reino Unido,Reino Unido
Germany,"Munich, Bavaria, Germany",,,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Germany,"Munich, Bavaria, Germany",,,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Portugal,"Lisbon, Lisbon, Portugal",Porto,Gondomar,Lisbon,Lisbon,"Lisbon, Lisboa, Portugal",Lisbon,Lisboa,Portugal,Portugal
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
France,"Gentilly, Île-de-France, France",Île-de-France,Le Plessis-Robinson,Gentilly,Île-de-France,"Gentilly, Ilha De França, França",Gentilly,Ilha De França,França,França
France,"St.-Denis, Île-de-France, France",Picardy,Crépy-en-Valois,St.-Denis,Île-de-France,"St.-Denis, Ilha De França, França",St.-Denis,Ilha De França,França,França
Belgium,"Ghent, Flemish Region, Belgium",,Gent Area,Ghent,Flemish Region,"Ghent, Flemish Region, Bélgica",Ghent,Flemish Region,Bélgica,Bélgica
Germany,"Berlin, Berlin, Germany",,Berlin Area,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
Ireland,"County Dublin, Ireland",England,Gamston,County Dublin,Ireland,"County Dublin, Irlanda",County Dublin,,Irlanda,Irlanda
Ireland,"Dublin 1, County Dublin, Ireland",,,Dublin 1,County Dublin,"Dublin 1, County Dublin, Irlanda",Dublin 1,County Dublin,Irlanda,Irlanda
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
France,"Neuilly-sur-Seine, Île-de-France, France",Midi-Pyrénées,Blagnac,Neuilly-sur-Seine,Île-de-France,"Neuilly-Sur-Seine, Ilha De França, França",Neuilly-Sur-Seine,Ilha De França,França,França
France,"Labretonie, Nouvelle-Aquitaine, France",,,Labretonie,Nouvelle-Aquitaine,"Labretonie, Nouvelle-Aquitaine, França",Labretonie,Nouvelle-Aquitaine,França,França
Germany,"Frankfurt, Hesse, Germany",Hesse,Frankfurt,Frankfurt,Hesse,"Frankfurt, Hessen, Alemanha",Frankfurt,Hessen,Alemanha,Alemanha
Germany,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,Hamburg,Hamburg,"Hamburg, Hamburg, Alemanha",Hamburg,Hamburg,Alemanha,Alemanha
France,"Rueil-Malmaison, Île-de-France, France",Tennessee,Hendersonville,Rueil-Malmaison,Île-de-France,"Rueil-Malmaison, Ilha De França, França",Rueil-Malmaison,Ilha De França,França,França
Estonia,"Saue, Harjumaa, Estonia",,,Saue,Harjumaa,"Saue, Harjumaa, Estonia",Saue,Harjumaa,Estonia,Estonia
United Kingdom,"London, England, United Kingdom",England,Ulverston,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",Berne,Bern,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Poland,"Warsaw, Mazowieckie, Poland",Mazowieckie,Warsaw,Warsaw,Mazowieckie,"Warsaw, Mazowieckie, Polônia",Warsaw,Mazowieckie,Polônia,Polônia
Germany,"Böblingen, Baden-Württemberg, Germany",,,Böblingen,Baden-Württemberg,"Böblingen, Baden-Württemberg, Alemanha",Böblingen,Baden-Württemberg,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",,Rochester,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Nuremberg, Bavaria, Germany",Bavaria,Nuremberg,Nuremberg,Bavaria,"Nuremberg, Baviera, Alemanha",Nuremberg,Baviera,Alemanha,Alemanha
Germany,"Nuremberg, Bavaria, Germany",Bavaria,Nuremberg,Nuremberg,Bavaria,"Nuremberg, Baviera, Alemanha",Nuremberg,Baviera,Alemanha,Alemanha
Germany,"Nuremberg, Bavaria, Germany",Bavaria,Nuremberg,Nuremberg,Bavaria,"Nuremberg, Baviera, Alemanha",Nuremberg,Baviera,Alemanha,Alemanha
Germany,"Heidelberg, Baden-Württemberg, Germany",,,Heidelberg,Baden-Württemberg,"Heidelberg, Baden-Württemberg, Alemanha",Heidelberg,Baden-Württemberg,Alemanha,Alemanha
Germany,"Heidelberg, Baden-Württemberg, Germany",,,Heidelberg,Baden-Württemberg,"Heidelberg, Baden-Württemberg, Alemanha",Heidelberg,Baden-Württemberg,Alemanha,Alemanha
Germany,"Heidelberg, Baden-Württemberg, Germany",,,Heidelberg,Baden-Württemberg,"Heidelberg, Baden-Württemberg, Alemanha",Heidelberg,Baden-Württemberg,Alemanha,Alemanha
United Kingdom,"Blackfriars, England, United Kingdom",Wiltshire,Wingfield,Blackfriars,England,"Blackfriars, Inglaterra, Reino Unido",Blackfriars,Inglaterra,Reino Unido,Reino Unido
Ireland,"Cork, County Cork, Ireland",County Cork,Cork,Cork,County Cork,"Cork, County Cork, Irlanda",Cork,County Cork,Irlanda,Irlanda
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
France,"Courbevoie, Île-de-France, France",,Casablanca,Courbevoie,Île-de-France,"Courbevoie, Ilha De França, França",Courbevoie,Ilha De França,França,França
France,"Noisy-le-Grand, Île-de-France, France",Île-de-France,Paris,Noisy-le-Grand,Île-de-France,"Noisy-Le-Grand, Ilha De França, França",Noisy-Le-Grand,Ilha De França,França,França
France,"Paris, Île-de-France, France",,London Area,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",Île-de-France,Paris,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
United States,"New Brunswick, New Jersey, United States",England,Redhill,New Brunswick,New Jersey,"New Brunswick, New Jersey, United States",New Brunswick,New Jersey,United States,United States
United Kingdom,"Winfrith Newburgh, England, United Kingdom",,Bournemouth,Winfrith Newburgh,England,"Winfrith Newburgh, Inglaterra, Reino Unido",Winfrith Newburgh,Inglaterra,Reino Unido,Reino Unido
France,"Paris, Île-de-France, France",,Montauban Area,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Germany,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,Hamburg,Hamburg,"Hamburg, Hamburg, Alemanha",Hamburg,Hamburg,Alemanha,Alemanha
Germany,"Cologne, North Rhine-Westphalia, Germany",,,Cologne,North Rhine-Westphalia,"Cologne, Renânia Do Norte-Vestfália, Alemanha",Cologne,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Cologne, North Rhine-Westphalia, Germany",,,Cologne,North Rhine-Westphalia,"Cologne, Renânia Do Norte-Vestfália, Alemanha",Cologne,Renânia Do Norte-Vestfália,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",England,Peterborough,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Heitersheim, Baden-Württemberg, Germany",Baden-Württemberg,Heitersheim,Heitersheim,Baden-Württemberg,"Heitersheim, Baden-Württemberg, Alemanha",Heitersheim,Baden-Württemberg,Alemanha,Alemanha
Switzerland,"Meyrin, Geneva, Switzerland",Geneva,Meyrin,Meyrin,Geneva,"Meyrin, Geneva, Suíça",Meyrin,Geneva,Suíça,Suíça
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,United Kingdom,England,Darlington,United Kingdom,,United Kingdom,United Kingdom,,,
France,"Courbevoie, Île-de-France, France",,,Courbevoie,Île-de-France,"Courbevoie, Ilha De França, França",Courbevoie,Ilha De França,França,França
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Hagen, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Hagen,Hagen,North Rhine-Westphalia,"Hagen, Renânia Do Norte-Vestfália, Alemanha",Hagen,Renânia Do Norte-Vestfália,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Nuremberg, Bavaria",,,Nuremberg,Bavaria,"Nuremberg, Bavaria",Nuremberg,,Bavaria,Bavaria
Germany,"Hamburg, Hamburg, Germany",North Holland,Amsterdam,Hamburg,Hamburg,"Hamburg, Hamburg, Alemanha",Hamburg,Hamburg,Alemanha,Alemanha
Germany,"Ebermannsdorf, Bavaria, Germany",Bavaria,Regensburg,Ebermannsdorf,Bavaria,"Ebermannsdorf, Baviera, Alemanha",Ebermannsdorf,Baviera,Alemanha,Alemanha
Germany,"Passau, Bavaria, Germany",Bavaria,Passau,Passau,Bavaria,"Passau, Baviera, Alemanha",Passau,Baviera,Alemanha,Alemanha
France,"Paris, Île-de-France, France",Île-de-France,Paris,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"St.-Maurice, Île-de-France, France",,,St.-Maurice,Île-de-France,"St.-Maurice, Ilha De França, França",St.-Maurice,Ilha De França,França,França
France,"St.-Maurice, Île-de-France, France",,,St.-Maurice,Île-de-France,"St.-Maurice, Ilha De França, França",St.-Maurice,Ilha De França,França,França
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",Île-de-France,Paris,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Levallois-Perret, Île-de-France, France",Île-de-France,Rueil-Malmaison,Levallois-Perret,Île-de-France,"Levallois-Perret, Ilha De França, França",Levallois-Perret,Ilha De França,França,França
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Belgium,"Hasselt, Flemish Region, Belgium",Flemish Region,Hasselt,Hasselt,Flemish Region,"Hasselt, Flemish Region, Bélgica",Hasselt,Flemish Region,Bélgica,Bélgica
Germany,"Frankfurt, Hesse, Germany",,,Frankfurt,Hesse,"Frankfurt, Hessen, Alemanha",Frankfurt,Hessen,Alemanha,Alemanha
France,"Issy-les-Moulineaux, Île-de-France, France",,,Issy-les-Moulineaux,Île-de-France,"Issy-Les-Moulineaux, Ilha De França, França",Issy-Les-Moulineaux,Ilha De França,França,França
Germany,"Rheinbach, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Cologne,Rheinbach,North Rhine-Westphalia,"Rheinbach, Renânia Do Norte-Vestfália, Alemanha",Rheinbach,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Eschborn, Hesse, Germany",Hesse,Frankfurt,Eschborn,Hesse,"Eschborn, Hessen, Alemanha",Eschborn,Hessen,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",Federal District,Guará,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Sulzemoos, Bavaria, Germany",Bavaria,Munich,Sulzemoos,Bavaria,"Sulzemoos, Baviera, Alemanha",Sulzemoos,Baviera,Alemanha,Alemanha
Germany,"Hamburg, Hamburg, Germany",,,Hamburg,Hamburg,"Hamburg, Hamburg, Alemanha",Hamburg,Hamburg,Alemanha,Alemanha
Germany,"Hamburg, Hamburg, Germany",,,Hamburg,Hamburg,"Hamburg, Hamburg, Alemanha",Hamburg,Hamburg,Alemanha,Alemanha
Germany,"Berlin, Berlin, Germany",Berlin,Berlin,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
Germany,"Düsseldorf, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Düsseldorf,Düsseldorf,North Rhine-Westphalia,"Düsseldorf, Renânia Do Norte-Vestfália, Alemanha",Düsseldorf,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Osnabrück, Lower Saxony, Germany",Lower Saxony,Osnabrück,Osnabrück,Lower Saxony,"Osnabrück, Lower Saxony, Alemanha",Osnabrück,Lower Saxony,Alemanha,Alemanha
Germany,"Frankfurt, Hesse, Germany",,,Frankfurt,Hesse,"Frankfurt, Hessen, Alemanha",Frankfurt,Hessen,Alemanha,Alemanha
Ireland,"Dublin, County Dublin, Ireland",,,Dublin,County Dublin,"Dublin, County Dublin, Irlanda",Dublin,County Dublin,Irlanda,Irlanda
Germany,"Cologne, North Rhine-Westphalia, Germany",,,Cologne,North Rhine-Westphalia,"Cologne, Renânia Do Norte-Vestfália, Alemanha",Cologne,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Cologne, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Cologne,Cologne,North Rhine-Westphalia,"Cologne, Renânia Do Norte-Vestfália, Alemanha",Cologne,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Cologne, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Cologne,Cologne,North Rhine-Westphalia,"Cologne, Renânia Do Norte-Vestfália, Alemanha",Cologne,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Essen, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Essen,Essen,North Rhine-Westphalia,"Essen, Renânia Do Norte-Vestfália, Alemanha",Essen,Renânia Do Norte-Vestfália,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",,Cambridge,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"12 Global Locations, Worldwide",Dolnośląskie,Wrocław,12 Global Locations,Worldwide,"12 Global Locations, Worldwide",12 Global Locations,,Worldwide,Worldwide
France,"Courbevoie, Île-de-France, France",Île-de-France,Châtenay-en-France,Courbevoie,Île-de-France,"Courbevoie, Ilha De França, França",Courbevoie,Ilha De França,França,França
France,"Labretonie, Nouvelle-Aquitaine, France",,,Labretonie,Nouvelle-Aquitaine,"Labretonie, Nouvelle-Aquitaine, França",Labretonie,Nouvelle-Aquitaine,França,França
Germany,"Nordhausen, Thuringia, Germany",Thuringia,Nordhausen,Nordhausen,Thuringia,"Nordhausen, Thuringia, Alemanha",Nordhausen,Thuringia,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Berlin, Berlin, Germany",,,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",England,London,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",,London Area,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Spain,"Málaga, Andalusia, Spain",,,Málaga,Andalusia,"Málaga, Andalusia, Espanha",Málaga,Andalusia,Espanha,Espanha
Spain,"Madrid y alrededores, España",,,Madrid y alrededores,España,"Madrid Y Alrededores, España",Madrid Y Alrededores,,España,España
France,"Paris, Île-de-France, France",Île-de-France,Mandres-les-Roses,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
France,"Paris, Île-de-France, France",Île-de-France,Paris,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Germany,"Cologne, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Aachen,Cologne,North Rhine-Westphalia,"Cologne, Renânia Do Norte-Vestfália, Alemanha",Cologne,Renânia Do Norte-Vestfália,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",,Greater Northampton Area,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
France,"Labretonie, Nouvelle-Aquitaine, France",Maharashtra,Thane,Labretonie,Nouvelle-Aquitaine,"Labretonie, Nouvelle-Aquitaine, França",Labretonie,Nouvelle-Aquitaine,França,França
Germany,"Münster, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Münster,Münster,North Rhine-Westphalia,"Münster, Renânia Do Norte-Vestfália, Alemanha",Münster,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Cologne, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Übach-Palenberg,Cologne,North Rhine-Westphalia,"Cologne, Renânia Do Norte-Vestfália, Alemanha",Cologne,Renânia Do Norte-Vestfália,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",São Paulo,São Paulo,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
France,France,Scotland,Edinburgh,France,,France,France,,,United Kingdom
Germany,"Berlin, Berlin, Germany",,,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
Spain,"Madrid, Community of Madrid, Spain",Community of Madrid,Madrid,Madrid,Community of Madrid,"Madrid, Comunidade De Madrid, Espanha",Madrid,Comunidade De Madrid,Espanha,Espanha
United Kingdom,"London, England, United Kingdom",Styria,Graz,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",,Greater Northampton Area,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",,Greater Northampton Area,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",Scotland,Edinburgh,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Japan,Greater Tokyo Area,,,Greater Tokyo Area,,Greater Tokyo Area,Greater Tokyo Area,,,Singapore
Germany,"Stuttgart, Baden-Württemberg, Germany",Baden-Württemberg,Stuttgart,Stuttgart,Baden-Württemberg,"Stuttgart, Baden-Württemberg, Alemanha",Stuttgart,Baden-Württemberg,Alemanha,Alemanha
Germany,"Stuttgart, Baden-Württemberg, Germany",Baden-Württemberg,Stuttgart,Stuttgart,Baden-Württemberg,"Stuttgart, Baden-Württemberg, Alemanha",Stuttgart,Baden-Württemberg,Alemanha,Alemanha
Lithuania,"Senamiesčio seniūnija, Vilniaus, Lithuania",Vilniaus,Vilnius,Senamiesčio seniūnija,Vilniaus,"Senamiesčio Seniūnija, Vilnius, Lituânia",Senamiesčio Seniūnija,Vilnius,Lituânia,Lituânia
Lithuania,"Senamiesčio seniūnija, Vilniaus, Lithuania",Vilniaus,Vilnius,Senamiesčio seniūnija,Vilniaus,"Senamiesčio Seniūnija, Vilnius, Lituânia",Senamiesčio Seniūnija,Vilnius,Lituânia,Lituânia
Lithuania,"Senamiesčio seniūnija, Vilniaus, Lithuania",Vilniaus,Vilnius,Senamiesčio seniūnija,Vilniaus,"Senamiesčio Seniūnija, Vilnius, Lituânia",Senamiesčio Seniūnija,Vilnius,Lituânia,Lituânia
United Kingdom,"London, England, United Kingdom",England,Wealden,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Lithuania,"Vilnius, Vilniaus, Lithuania",,,Vilnius,Vilniaus,"Vilnius, Vilnius, Lituânia",Vilnius,Vilnius,Lituânia,Lituânia
Spain,"Barcelona, Catalonia, Spain",Catalonia,Barcelona,Barcelona,Catalonia,"Barcelona, Catalunha, Espanha",Barcelona,Catalunha,Espanha,Espanha
Germany,"Berlin, Berlin, Germany",,,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",England,London,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
