Geografia_ID,Cidade,Estado,Pais,Pais padronizado,Regiao Europa,Europa
GEO701,Porto,,Portugal,Portugal,Europa do Sul,Europa
GEO702,Cascais,Lisbon,Portugal,Portugal,Europa do Sul,Europa
GEO703,Santiago do Cacém,Setúbal,Portugal,Portugal,Europa do Sul,Europa
GEO704,Aartselaar,Flemish Region,Belgium,Belgium,Europa Ocidental,Europa
GEO705,Sant Boi de Llobregat,Catalonia,Spain,Spain,Europa do Sul,Europa
GEO706,,,Helsinki Metropolitan Area,Finland,Nórdicos,Europa
GEO707,Stockholm,Stockholm County,Sweden,Sweden,Nórdicos,Europa
GEO708,Logroño,Autonomía de La Rioja,Spain,Spain,Europa do Sul,Europa
GEO709,Uster,Zurich,Switzerland,Switzerland,Outros,Europa
GEO710,Keerbergen,Flemish Region,Belgium,Belgium,Europa Ocidental,Europa
GEO711,Gijón,Principality of Asturias,Spain,Spain,Europa do Sul,Europa
GEO712,,,Finland,Finland,Nórdicos,Europa
GEO713,,,Greater Palma de Mallorca Metropolitan Area,Spain,Europa do Sul,Europa
GEO714,,,"Venezuela, Bolivarian Republic of",Venezuela,Outros,Outros
GEO715,Palma,Balearic Islands,Spain,Spain,Europa do Sul,Europa
GEO716,,,Greater Sevilla Metropolitan Area,Spain,Europa do Sul,Europa
GEO717,Santiago,Santiago Metropolitan Region,Chile,Chile,Outros,Outros
GEO718,Cartagena,Región de Murcia,Spain,Spain,Europa do Sul,Europa
GEO719,Getafe,Community of Madrid,Spain,Spain,Europa do Sul,Europa
GEO720,Puenteareas,Galicia,Spain,Spain,Europa do Sul,Europa
GEO721,Unidad Hab Lomas de San Lorenzo,Federal District,Mexico,Mexico,Outros,Outros
GEO722,Gustavo A. Madero,Mexico City,Mexico,Mexico,Outros,Outros
GEO723,Viana do Castelo,Viana do Castelo,Portugal,Portugal,Europa do Sul,Europa
GEO724,Juárez,Federal District,Mexico,Mexico,Outros,Outros
GEO725,,,Lisbon Metropolitan Area,Portugal,Europa do Sul,Europa
GEO726,Montijo,Setúbal,Portugal,Portugal,Europa do Sul,Europa
GEO727,Tlalpan,Mexico City,Mexico,Mexico,Outros,Outros
GEO728,Baarn,Utrecht Province,Netherlands,Netherlands,Europa Ocidental,Europa
GEO729,Mexico City,,Mexico,Mexico,Outros,Outros
GEO730,Évora,,Portugal,Portugal,Europa do Sul,Europa
GEO731,Alcobaça,Leiria,Portugal,Portugal,Europa do Sul,Europa
GEO732,Lajes,,Portugal,Portugal,Europa do Sul,Europa
GEO733,Loures,Lisbon,Portugal,Portugal,Europa do Sul,Europa
GEO734,Faro,Faro,Portugal,Portugal,Europa do Sul,Europa
GEO735,Vila Franca de Xira,Lisbon,Portugal,Portugal,Europa do Sul,Europa
